Version (major / minor):;2;35;;;;;;;;;;;;
ID;Name;DataNames;DataTypes;DataUnits;Standard Values;Log;PutToCAN1;PutToCAN2;Description;Sender;Receiver;ToStrat;ToVis;NotToDB;Convert endianness;
1;LVC_VehicleState;lvcState, state, error;LVCState, VehicleState, LVCError;lvcState, state, error;;1;1;1;The state of the vehicle;LVC;BMS, BoC;;2;;1;
10;BMS_State;mainState, imdState, coolingLimitState, coolingControlState, battfrontState, canControllerState, error, _dummy;BMSState, IMDState, BMSCoolingLimit, OnOff, OnOff, OnOff, BMSError, bool;BMS state, IMD state, Cooling limit state, on/off, on/off, on/off, error, dontcare;;1;1;1;Main states of the BMS state machine;BMS;;;;;1;
11;BMS_IMDStatus;insulationValue, frequencyHz, state;uint32_t, uint16_t, IMDMeasurement;kOhm, Hz, state;;1;1;1;Current IMD state,  IMD operating frequency,  IMD measured insulation according to bender datasheet;BMS;MK5;;;;1;
12;BMS_MinMaxCellVoltage;minCellVoltage, maxCellVoltage, minCellNumber, maxCellNumber, maxNonAdjacentBalancedCellVoltage;uint16_t, uint16_t, uint8_t, uint8_t, uint16_t;mV, mV, -, -, mV;;1;1;1;Minimal & Maximal  Battery MetaCell Voltages  including cell identification Identification starts from 0 on top battery layer, from 100 on middle battery layer and 200 on bottom battery layer ;BMS;FUC;;0, 1;;1;
13;BMS_MinMaxCellTemp;minCellTemperature, maxCellTemperature, minNTCNumber, maxNTCNumber;int16_t, int16_t, uint8_t, uint8_t;c°C, c°C, -, -;;1;1;1;Minimal & Maximal  Battery MetaCell Temperatures  including cell identification Identification starts from 0 on top battery layer, from 100 on middle battery layer and 200 on bottom battery layer ;BMS;FUC;;0, 1;;1;
20;ACU_DNR;dnr;DNR;DNR;;1;1;1;Current DNR state of the ACU;ACU;FUC;;;;1;
21;ACU_OperationMode;mode;OperationMode;Operation mode;;1;1;1;Current operation mode of the ACU;ACU;FUC;;;;1;
22;ACU_MotorControlState;mode, hillAssistActive, leftInverterAlive, rightInverterAlive, leftInverterError, rightInverterError, throttlePedalOK, brakePedalOK, leftInvInternalOverTemperature, leftInvMotorOverTemperature, leftInvOvercurrent, leftInvUndercurrent, leftInvOvervoltage, leftInvUndervoltage, rightInvInternalOverTemperature, rightInvMotorOverTemperature, rightInvOvercurrent, rightInvUndercurrent, rightInvOvervoltage, rightInvUndervoltage, leftInverterStatus, rightInverterStatus;MotorControlMode, bool: 1, bool: 1, bool: 1, bool: 1, bool: 1, bool: 1, bool: 1, bool: 1, bool: 1, bool: 1, bool: 1, bool: 1, bool: 1, bool: 1, bool: 1, bool: 1, bool: 1, bool: 1, bool: 1, InverterStatus, InverterStatus;mode, T/F, T/F, T/F, T/F, T/F, T/F, T/F, T/F, T/F, T/F, T/F, T/F, T/F, T/F, T/F, T/F, T/F, T/F, T/F, status, status;;1;1;1;Contains the motor control state of the ACU;ACU;;;2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19;;1;
23;ACU_CruiseControl;setpoint, state;float, ControlState;m/s, state;;1;1;1;Contains the current state of the cruise control;ACU;SSB;;;;1;
24;ACU_PedalFaults;throttlePedalsDifferent, throttle1AOB, throttle2AOB, brakePedalsDifferent, brake1AOB, brake2AOB;bool: 1, bool: 1, bool: 1, bool: 1, bool: 1, bool: 1;T/F, T/F, T/F, T/F, T/F, T/F;;1;1;1;Contains any faults in the pedal measurements;ACU;FUC;;;;1;
