ID,Name,Field names,Data types,Units,Default values,Description,Senders,Receivers,Send interval,Convert endianness,Type,Properties,Send frequency
Version (major / minor):,2,35,,,,,,,,,,,
0,CANOpen_NMT,"command, node","CANOpenNMTCommand, uint8_t","command, node ID","CANOpenNMTCommand::Null, 0",CANopen NMT command,ACU,"SAC, BAC",,1,A,,0
1,LVC_VehicleState,"lvcState, state, error","LVCState, VehicleState, LVCError","lvcState, state, error","LVCState::Initializing, VehicleState::Standby, LVCError::None",The state of the vehicle,LVC,"BMS, BoC",,1,A,,1
2,LVC_Shutdown,"errcode, ctr","uint32_t, uint8_t","code, code","0, 0",State of the LVC,LVC,,,0,A,,1
10,BMS_State,"mainState, imdState, coolingLimitState, coolingControlState, battfrontState, canControllerState, error, _dummy","BMSState, IMDState, BMSCoolingLimit, OnOff, OnOff, OnOff, BMSError, bool","BMS state, IMD state, Cooling limit state, on/off, on/off, on/off, error, dontcare","BMSState::ESS, IMDState::Off, BMSCoolingLimit::Charging, OnOff::Off, OnOff::Off, OnOff::On, BMSError::None, false",Main states of the BMS state machine,BMS,,10,1,A,,10
11,BMS_IMDStatus,"insulationValue, frequencyHz, state","uint32_t, uint16_t, IMDMeasurement","kOhm, Hz, state","0, 0, IMDMeasurement::NoData","Current IMD state,  IMD operating frequency,  IMD measured insulation according to bender datasheet",BMS,MK5,10,1,A,,5
12,BMS_MinMaxCellVoltage,"minCellVoltage, maxCellVoltage, minCellNumber, maxCellNumber, maxNonAdjacentBalancedCellVoltage","uint16_t, uint16_t, uint8_t, uint8_t, uint16_t","mV, mV, -, -, mV","0, 0, 0, 0, 0","Minimal & Maximal  Battery MetaCell Voltages  including cell identification Identification starts from 0 on top battery layer, from 100 on middle battery layer and 200 on bottom battery layer ",BMS,FUC,20,1,A,,10
13,BMS_MinMaxCellTemp,"minCellTemperature, maxCellTemperature, minNTCNumber, maxNTCNumber","int16_t, int16_t, uint8_t, uint8_t","c°C, c°C, -, -","0, 0, 0, 0","Minimal & Maximal  Battery MetaCell Temperatures  including cell identification Identification starts from 0 on top battery layer, from 100 on middle battery layer and 200 on bottom battery layer ",BMS,FUC,20,1,A,,10
20,ACU_DNR,dnr,DNR,DNR,DNR::Unknown,Current DNR state of the ACU,ACU,FUC,5,1,A,,10
21,ACU_OperationMode,mode,OperationMode,Operation mode,OperationMode::Unknown,Current operation mode of the ACU,ACU,FUC,5,1,A,,10
